"dataResourceUid","dataResourceName","images","dcterms:modified","dcterms:language","dcterms:license","rightsHolder","dcterms:accessRights","dcterms:bibliographicCitation","references","institutionID","collectionID","datasetID","institutionCode","collectionCode","datasetName","ownerInstitutionCode","basisOfRecord","informationWithheld","dataGeneralizations","dynamicProperties","occurrenceID","catalogNumber","recordNumber","recordedBy","individualCount","organismQuantity","organismQuantityType","sex","lifeStage","reproductiveCondition","behavior","establishmentMeans","occurrenceStatus","preparations","disposition","associatedMedia","associatedReferences","associatedTaxa","otherCatalogNumbers","occurrenceRemarks","organismID","organismName","associatedOccurrences","previousIdentifications","organismRemarks","materialSampleID","eventID","parentEventID","fieldNumber","eventDate","eventTime","startDayOfYear","endDayOfYear","year","month","day","verbatimEventDate","habitat","samplingProtocol","samplingEffort","sampleSizeValue","sampleSizeUnit","fieldNotes","eventRemarks","locationID","higherGeographyID","continent","waterBody","islandGroup","island","country","countryCode","stateProvince","county","municipality","locality","verbatimLocality","minimumElevationInMeters","maximumElevationInMeters","verbatimElevation","minimumDepthInMeters","maximumDepthInMeters","verbatimDepth","minimumDistanceAboveSurfaceInMeters","maximumDistanceAboveSurfaceInMeters","locationAccordingTo","locationRemarks","decimalLatitude","decimalLongitude","geodeticDatum","coordinateUncertaintyInMeters","coordinatePrecision","verbatimCoordinates","verbatimLatitude","verbatimLongitude","verbatimCoordinateSystem","verbatimSRS","footprintWKT","footprintSRS","georeferencedDate","georeferenceProtocol","georeferenceSources","georeferenceVerificationStatus","georeferenceRemarks","geologicalContextID","earliestEonOrLowestEonothem","latestEonOrHighestEonothem","earliestEraOrLowestErathem","latestEraOrHighestErathem","earliestPeriodOrLowestSystem","latestPeriodOrHighestSystem","earliestEpochOrLowestSeries","latestEpochOrHighestSeries","earliestAgeOrLowestStage","latestAgeOrHighestStage","lowestBiostratigraphicZone","highestBiostratigraphicZone","lithostratigraphicTerms","group","formation","member","bed","identificationID","identificationQualifier","typeStatus","identifiedBy","dateIdentified","identificationReferences","identificationVerificationStatus","identificationRemarks","taxonID","scientificNameID","acceptedNameUsageID","parentNameUsageID","nameAccordingToID","namePublishedInID","taxonConceptID","raw_scientificName","scientificName","acceptedNameUsage","parentNameUsage","originalNameUsage","nameAccordingTo","namePublishedIn","namePublishedInYear","higherClassification","kingdom","phylum","class","order","family","genus","subgenus","specificEpithet","infraspecificEpithet","taxonRank","verbatimTaxonRank","scientificNameAuthorship","vernacularName","nomenclaturalCode","taxonomicStatus","nomenclaturalStatus","taxonRemarks","measurementDeterminedDate","recordedByID","identifiedByID","videos","species","subfamily","eventType","measurementRemarks","measurementValue","relationshipRemarks","superfamily","relationshipOfResource","measurementMethod","identifier","provenance","sounds","recordID","rights","source","measurementID","measurementType","measurementUnit","measurementDeterminedBy","measurementAccuracy","degreeOfEstablishment","relatedResourceID","images","dcterms:type"
"dr1132","WildNet - Queensland Wildlife Data","","","","CC-BY 4.0 (Int)","","","","","","","3064","","","Toop (1977b)","Queensland Historical Fauna Database","OCCURRENCE","","","","urn:catalog:QGov:DES:WildNet:2979030","","","","","","","","","","","","PRESENT","","","","","","","","","","","","","","","","","1976-09-01T00:00:00Z","","245","274","1976","9","","","","","","","","","","","","","","","","Australia","AU","Queensland","","","Mt Etna","","","","","","","","","","","","-23.15813","150.45275","EPSG:4326","500.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Unconfirmed","","994","","","","","","https://biodiversity.org.au/afd/taxa/7993d9b8-c777-41fc-984c-a1fda2c8878f","Macroderma gigas","Macroderma gigas","","","","","","","","Animalia","Chordata","Mammalia","Chiroptera","Megadermatidae","Macroderma","","","","species","","(Dobson, 1880)","Ghost Bat","","","","","","","","","Macroderma gigas","","","","","","","","","","","","9a31e165-ec58-4db2-be93-37c095169f8f","","","","","","","","","","",""
"dr1132","WildNet - Queensland Wildlife Data","","","","CC-BY 4.0 (Int)","","","","","","","12533","","","Tina Ball Miscellaneous Data","Incidental Records","OCCURRENCE","","","","urn:catalog:QGov:DES:WildNet:5960157","","","","","","","","","","","","PRESENT","","","","","","","","","","0a41e4ab-66b5-4c19-a039-4399bf51c334","","","","","","","2013-05-24T00:00:00Z","","144","144","2013","5","24","","","","","","","","","","","","","","","Australia","AU","Queensland","","","Cape Hillsborough National Park","","","","","","","","","","","","-20.91309","149.02548","EPSG:4326","100.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Confirmed","","994","","","","","","https://biodiversity.org.au/afd/taxa/7993d9b8-c777-41fc-984c-a1fda2c8878f","Macroderma gigas","Macroderma gigas","","","","","","","","Animalia","Chordata","Mammalia","Chiroptera","Megadermatidae","Macroderma","","","","species","","(Dobson, 1880)","Ghost Bat","","","","","","","","","Macroderma gigas","","","","","","","","","","","","68c5ec86-10e1-4286-bd06-93aa2f7bf55a","","","","","","","","","","",""
"dr1132","WildNet - Queensland Wildlife Data","","","","CC-BY 4.0 (Int)","","","","","","","8041","","","QPWS Estate Incidental & Summarised Records","Wildlife Records System (Central Region) - Incidental","OCCURRENCE","","","","urn:catalog:QGov:DES:WildNet:4776076","","","","","","","","","","","","PRESENT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Australia","AU","Queensland","","","Crediton State Forest","","","","","","","","","","","","-21.22099","148.48942","EPSG:4326","100.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Confirmed","","994","","","","","","https://biodiversity.org.au/afd/taxa/7993d9b8-c777-41fc-984c-a1fda2c8878f","Macroderma gigas","Macroderma gigas","","","","","","","","Animalia","Chordata","Mammalia","Chiroptera","Megadermatidae","Macroderma","","","","species","","(Dobson, 1880)","Ghost Bat","","","","","","","","","Macroderma gigas","","","","","","","","","","","","c6a36808-0c19-4099-ab16-0a83a7082310","","","","","","","","","","",""
"dr1132","WildNet - Queensland Wildlife Data","","","","CC-BY 4.0 (Int)","","","","","","","8259","","","Keith R. McDonalds Incidental Records","Incidental Records","OCCURRENCE","","","","urn:catalog:QGov:DES:WildNet:6063758","","","","","1","Accurate","","","","","","PRESENT","","","","","","","","","","","","","","","","","2015-07-02T00:00:00Z","","183","183","2015","7","2","","","","","","","","","","","","","","","Australia","AU","Queensland","","","Alkoomie Station - Melody Rocks","","","","","","","","","","","","-15.62082","145.06195","EPSG:4326","100.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Verified","","994","","","","","","https://biodiversity.org.au/afd/taxa/7993d9b8-c777-41fc-984c-a1fda2c8878f","Macroderma gigas","Macroderma gigas","","","","","","","","Animalia","Chordata","Mammalia","Chiroptera","Megadermatidae","Macroderma","","","","species","","(Dobson, 1880)","Ghost Bat","","","","","","","","","Macroderma gigas","","","","","","","","","","","","b6ebbe90-fe79-4f50-b3d4-cfc271bba1e6","","","","","","","","","","",""
"dr1132","WildNet - Queensland Wildlife Data","","","","CC-BY 4.0 (Int)","","","","","","","9722","","","Berrill (1992)","Queensland Historical Fauna Database","OCCURRENCE","","","","urn:catalog:QGov:DES:WildNet:4480806","","","","","","","","","","","","PRESENT","","","","","","","","","","","","","","","","","1990-06-20T00:00:00Z","","171","171","1990","6","20","","","","","","","","","","","","","","","Australia","AU","Queensland","","","Big Mac Cave (142), Mitchell-Palmer Karst","","","","","","","","","","","","-16.03943","144.12695","EPSG:4326","300.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Unconfirmed","","994","","","","","","https://biodiversity.org.au/afd/taxa/7993d9b8-c777-41fc-984c-a1fda2c8878f","Macroderma gigas","Macroderma gigas","","","","","","","","Animalia","Chordata","Mammalia","Chiroptera","Megadermatidae","Macroderma","","","","species","","(Dobson, 1880)","Ghost Bat","","","","","","","","","Macroderma gigas","","","","","","","","","","","","6439bffa-7c1c-42ec-91b8-2d332e25b6a3","","","","","","","","","","",""
"dr1132","WildNet - Queensland Wildlife Data","","","","CC-BY 4.0 (Int)","","","","","","","3064","","","Toop (1977b)","Queensland Historical Fauna Database","OCCURRENCE","","","","urn:catalog:QGov:DES:WildNet:2978993","","","","","","","","","","","","PRESENT","","","","","","","","","","","","","","","","","1971-08-01T00:00:00Z","","213","243","1971","8","","","","","","","","","","","","","","","","Australia","AU","Queensland","","","Limestone Ridge (Nth) - Johannsens Caves","","","","","","","","","","","","-23.15647","150.46248","EPSG:4326","300.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Unconfirmed","","994","","","","","","https://biodiversity.org.au/afd/taxa/7993d9b8-c777-41fc-984c-a1fda2c8878f","Macroderma gigas","Macroderma gigas","","","","","","","","Animalia","Chordata","Mammalia","Chiroptera","Megadermatidae","Macroderma","","","","species","","(Dobson, 1880)","Ghost Bat","","","","","","","","","Macroderma gigas","","","","","","","","","","","","6b58c198-b52c-40ea-ab20-8b1bc64656ae","","","","","","","","","","",""
"dr1132","WildNet - Queensland Wildlife Data","","","","CC-BY 4.0 (Int)","","","","","","","9819","","","Clarke (1996)","Queensland Historical Fauna Database","OCCURRENCE","","","","urn:catalog:QGov:DES:WildNet:4496039","","","","","","","","","","","","PRESENT","","","","","","","","","","","","","","","","","1996-08-01T00:00:00Z","","214","244","1996","8","","","","","","","","","","","","","","","","Australia","AU","Queensland","","","Mt Carbine","","","","","","","","","","","","-16.52749","145.13445","EPSG:4326","1800.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Unconfirmed","","994","","","","","","https://biodiversity.org.au/afd/taxa/7993d9b8-c777-41fc-984c-a1fda2c8878f","Macroderma gigas","Macroderma gigas","","","","","","","","Animalia","Chordata","Mammalia","Chiroptera","Megadermatidae","Macroderma","","","","species","","(Dobson, 1880)","Ghost Bat","","","","","","","","","Macroderma gigas","","","","","","","","","","","","c496efff-6b6c-49e9-8002-724748a09c7c","","","","","","","","","","",""
"dr1132","WildNet - Queensland Wildlife Data","","","","CC-BY 4.0 (Int)","","","","","","","9074","","","General Fauna/Flora","Wildlife Ecology (Indooroopilly) survey data","OCCURRENCE","","","","urn:catalog:QGov:DES:WildNet:4329085","","","","","5","Accurate","","","","","","PRESENT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Australia","AU","Queensland","","","Kootakina Cave S of Camooweal Qld","","","","","","","","","","","","-20.11506","138.23438","EPSG:4326","999.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Verified","","994","","","","","","https://biodiversity.org.au/afd/taxa/7993d9b8-c777-41fc-984c-a1fda2c8878f","Macroderma gigas","Macroderma gigas","","","","","","","","Animalia","Chordata","Mammalia","Chiroptera","Megadermatidae","Macroderma","","","","species","","(Dobson, 1880)","Ghost Bat","","","","","","","","","Macroderma gigas","","","","","","","","","","","","021a0cde-8910-4cad-8048-9ad63cbe0fbe","","","","","","","","","","",""
"dr1132","WildNet - Queensland Wildlife Data","","","","CC-BY 4.0 (Int)","","","","","","","947","","","Anon (1969)","Queensland Historical Fauna Database","OCCURRENCE","","","","urn:catalog:QGov:DES:WildNet:2988911","","","","","","","","","","","","PRESENT","","","","","","","","","","","","","","","","","1966-01-01T00:00:00Z","","1","365","1966","","","","","","","","","","","","","","","","","Australia","AU","Queensland","","","Johannsen's Cave, nr Mt Etna","","","","","","","","","","","","-23.15369","150.46053","EPSG:4326","450.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Unconfirmed","","994","","","","","","https://biodiversity.org.au/afd/taxa/7993d9b8-c777-41fc-984c-a1fda2c8878f","Macroderma gigas","Macroderma gigas","","","","","","","","Animalia","Chordata","Mammalia","Chiroptera","Megadermatidae","Macroderma","","","","species","","(Dobson, 1880)","Ghost Bat","","","","","","","","","Macroderma gigas","","","","","","","","","","","","68775264-822a-4d9f-a640-9304dec18f16","","","","","","","","","","",""
"dr1132","WildNet - Queensland Wildlife Data","","","","CC-BY 4.0 (Int)","","","","","","","9725","","","Berrill etal. (1997)","Queensland Historical Fauna Database","OCCURRENCE","","","","urn:catalog:QGov:DES:WildNet:4476121","","","","","","","","","","","","PRESENT","","","","","","","","","","","","","","","","","1997-08-12T00:00:00Z","","224","224","1997","8","12","","","","","","","","","","","","","","","Australia","AU","Queensland","","","Magnifique Cave (269), Mitchell-Palmer Karst area","","","","","","","","","","","","-16.04026","144.12723","EPSG:4326","300.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Unconfirmed","","994","","","","","","https://biodiversity.org.au/afd/taxa/7993d9b8-c777-41fc-984c-a1fda2c8878f","Macroderma gigas","Macroderma gigas","","","","","","","","Animalia","Chordata","Mammalia","Chiroptera","Megadermatidae","Macroderma","","","","species","","(Dobson, 1880)","Ghost Bat","","","","","","","","","Macroderma gigas","","","","","","","","","","","","7c9b2b4d-f951-44e4-9ecc-55e5b4a005ec","","","","","","","","","","",""
