OBJECTID,PA_ID,PA_PID,NAME,TYPE,TYPE_ABBR,IUCN,NRS_PA,NRS_MPA,GAZ_AREA,GIS_AREA,GAZ_DATE,LATEST_GAZ,STATE,AUTHORITY,DATASOURCE,GOVERNANCE,COMMENTS,ENVIRON,OVERLAP,MGT_PLAN,RES_NUMBER,ZONE_TYPE,EPBC,LONGITUDE,LATITUDE,PA_SYSTEM,Shape__Area,Shape__Length
15889,SA_1459,SA_1459,Unnamed (No.HA1459),Heritage Agreement,HA,III,Y,,5.31878697,5.32837937,2009/08/14 00:00:00+00,2009/08/14 00:00:00+00,SA,SA_DEW,SA_DEW,P,,T,1,N,SA_1459,,State,138.91759993,-35.18362937,NRS,5.272918781006e-06,0.0104530260551867
15890,TAS_50254,TAS_50254_q,Tasman,National Park,NP,II,Y,,0,0.10933415,1917/07/18 00:00:00+00,2013/10/23 00:00:00+00,TAS,NRE_TAS,NRE_TAS,G,,T,1,M,TAS50254,,State,147.99315459,-42.9520166,NRS,1.206035708395e-07,0.00143773572494286
15891,WA_00965,WA_00965,Udumung,Nature Reserve,NR,Ia,Y,,201.5075,201.46251028,1905/03/31 00:00:00+00,1988/10/07 00:00:00+00,WA,WA_DBCA,WA_DBCA,G,,T,1,R,WA00965,,State,116.17426918,-31.18153845,NRS,0.000190615644781567,0.103437818626167
15893,SA_10217,SA_10217,Christmas Hill,Forest Reserve,FR,IV,Y,,2334.66402121,315.54070233,,,SA,SA_FRST,SA_DEW,G,,T,1,M,SA_10217,,State,138.68071072,-35.25585654,NRS,0.000312505664179751,0.238499526392204
15895,VIC_2591,VIC_2591,Fiery Creek SS.R.,Natural Features Reserve,NFR,III,Y,,36.172,35.95855621,1983/11/22 00:00:00+00,1983/11/22 00:00:00+00,VIC,VIC_DEECA,VIC_DEECA,G,,T,1,N,2591,,State,143.08646628,-37.48243308,NRS,3.66312334827385e-05,0.0294075774759956
15897,NSW_N0502,NSW_N0502,Ballina,Nature Reserve,NR,Ia,Y,,721,666.82857281,1975/09/05 00:00:00+00,1988/03/11 00:00:00+00,NSW,NSW_DCCEEW,NSW_DCCEEW,G,,T,1,M,N0502,,State,153.56740177,-28.80683825,NRS,0.000616339536926079,0.133922101234485
15898,TAS_14173,TAS_14173_d,Forest Vale #3,Conservation Covenant,ACCP,IV,Y,,0,0.55014852,2010/08/31 00:00:00+00,2010/08/31 00:00:00+00,TAS,TAS_PRIV,NRE_TAS,P,FCF,T,1,M,TAS14173,,Private,147.27704081,-43.3243157,NRS,6.10510766323e-07,0.00433454201539792
15900,TAS_13529,TAS_13529,Hamptons Rd - Meander,Conservation Covenant,ACCP,IV,Y,,0,16.35183764,2010/09/10 00:00:00+00,2010/09/10 00:00:00+00,TAS,TAS_PRIV,NRE_TAS,P,PAPL,T,1,M,TAS13529,,Private,146.58508089,-41.68316601,NRS,1.7682486497467e-05,0.0186207215026514
15901,TAS_50251,TAS_50251_r,South Bruny,National Park,NP,II,Y,,0,0.23504169,1919/01/14 00:00:00+00,2000/12/13 00:00:00+00,TAS,NRE_TAS,NRE_TAS,G,,B,1,M,TAS50251,,State,147.1067571,-43.43645569,NRS,2.61304362451e-07,0.00309975747434325
15903,TAS_50254,TAS_50254_cs,Tasman,National Park,NP,II,Y,,0,0.2245785,1917/07/18 00:00:00+00,2013/10/23 00:00:00+00,TAS,NRE_TAS,NRE_TAS,G,,T,1,M,TAS50254,,State,147.78182951,-43.22510835,NRS,2.488177175905e-07,0.00212163411379564
15904,SA_0084,SA_0084,Kelly Hill,Conservation Park,CP,III,Y,,2183.07925684,2205.09304911,1971/01/21 00:00:00+00,1991/12/19 00:00:00+00,SA,SA_DEW,SA_DEW,G,,T,1,M,SA_0084,,State,136.86829263,-35.99505059,NRS,0.00220332967541091,0.397652209786522
15905,WA_36915,WA_36915,Unnamed WA36915,Nature Reserve,NR,Ia,Y,,9640.449,10249.80524968,1980/10/24 00:00:00+00,1984/10/19 00:00:00+00,WA,WA_DBCA,WA_DBCA,G,Gazetted to HWM. Part of Dampier Archipelago Reserve system.,B,1,M,WA36915,,State,116.85098629,-20.48301833,NRS,0.00887616341186576,2.5188834185177
15906,WA_47890,WA_47890_a,Mount Roe,National Park,NP,II,Y,,127726,127800.1426814,2004/12/08 00:00:00+00,2004/12/08 00:00:00+00,WA,WA_DBCA,WA_DBCA,G,,T,1,M,WA47890,,State,117.00768057,-34.7073697,NRS,0.125754953880345,3.66483269252294
15907,QLD_0058WHS001,QLD_0058WHS001,Whitsunday Islands,National Park,NP,II,Y,,17043.166,17465.32785704,1944/10/14 00:00:00+00,2023/08/24 00:00:00+00,QLD,QLD_DES,QLD_DES,G,,T,1,M,0058WHS001,,State,148.98782385,-20.25323963,NRS,0.0150963649908755,3.40852486969723
15908,WA_28689,WA_28689,Mount Mason,Nature Reserve,NR,Ia,Y,,193.9715,194.00681166,1967/08/18 00:00:00+00,1983/09/23 00:00:00+00,WA,WA_DBCA,WA_DBCA,G,,T,1,M,WA28689,,State,118.02144476,-34.96724217,NRS,0.000191487899691591,0.0821348814485931
15910,WA_00988,WA_00988_a,Gooralong,Conservation Park,CP,II,Y,,32.3749,32.37961968,1901/01/01 00:00:00+00,1993/01/08 00:00:00+00,WA,WA_DBCA,WA_DBCA,G,,T,1,R,WA00988,,State,116.03882789,-32.32502887,NRS,3.10106582303715e-05,0.0226984302807978
15912,VIC_460,VIC_460,Lake Curlip W.R.,Natural Features Reserve,NFR,VI,Y,,1036.716,1036.85398548,1979/05/01 00:00:00+00,1999/03/16 00:00:00+00,VIC,VIC_DEECA,VIC_DEECA,G,,T,1,N,460,,State,148.56272975,-37.75075508,NRS,0.00106002166987121,0.424665479458864
15915,VIC_1775,VIC_1775,Flinders G234 B.R.,Natural Features Reserve,NFR,IV,Y,,2.526,2.52537101,1997/06/17 00:00:00+00,1997/06/17 00:00:00+00,VIC,VIC_DEECA,VIC_DEECA,G,,T,1,N,1775,,State,144.97270288,-38.45414394,NRS,2.6063126011845e-06,0.00780122778291619
15916,QLD_PA1122,QLD_PA1122,Ardgour Station,Nature Refuge,NREF,VI,Y,,8285.98,8274.66319255,2022/12/02 00:00:00+00,2022/12/02 00:00:00+00,QLD,QLD_DES,QLD_DES,P,,T,1,N,PA1122,,Private,146.08496722,-27.49972016,NRS,0.00755691891850934,0.368990094883859
15917,VIC_3348,VIC_3348,Paddys Ranges,State Park,SP,II,Y,,2014.697,2015.21674068,1989/10/27 00:00:00+00,2002/10/30 00:00:00+00,VIC,VIC_DEECA,VIC_DEECA,G,,T,1,M,3348,,State,143.69778593,-37.08349871,NRS,0.00204244245275074,0.405071412776862
15922,SA_1172,SA_1172,Unnamed (No.HA1172),Heritage Agreement,HA,III,Y,,25.76083993,25.73621288,2000/02/02 00:00:00+00,2000/02/02 00:00:00+00,SA,SA_DEW,SA_DEW,P,,T,1,N,SA_1172,,State,140.57174057,-36.36918597,NRS,2.5843959623101e-05,0.0218684161900855
15924,VIC_2432,VIC_2432,Apsley B.R.,Natural Features Reserve,NFR,IV,Y,,259.439,259.51779364,1983/11/22 00:00:00+00,2005/05/17 00:00:00+00,VIC,VIC_DEECA,VIC_DEECA,G,,T,1,N,2432,,State,141.06634863,-36.9748031,NRS,0.000262627409218334,0.137028553694947
15925,TAS_20572,TAS_20572_c,Connorville and Big Den #1,Conservation Covenant,ACCP,IV,Y,,0,847.26345309,2006/10/24 00:00:00+00,2006/10/24 00:00:00+00,TAS,TAS_PRIV,NRE_TAS,P,NFVP,T,1,M,TAS20572,,Private,147.09157816,-41.86377528,NRS,0.000918757623731232,0.134051911750615
15926,VIC_177,VIC_177,Alex Chisholm N.C.R.,Natural Features Reserve,NFR,Ia,Y,,16.076,16.08045826,1978/08/08 00:00:00+00,1978/08/08 00:00:00+00,VIC,VIC_DEECA,VIC_DEECA,G,,T,1,N,177,,State,143.73556711,-37.03062476,NRS,1.62850613064845e-05,0.019079916038843
15927,VIC_1992,VIC_1992,Phillip Island Nature Park,Other,OP,III,Y,,1925.186,1959.793214,1997/06/27 00:00:00+00,2013/08/27 00:00:00+00,VIC,VIC_DEECA,VIC_DEECA,G,,B,1,N,1992,,State,145.11636501,-38.51823852,NRS,0.00202392159523545,1.99141595151417
15929,VIC_2330,VIC_2330,Cale Donian B.R.,Natural Features Reserve,NFR,IV,Y,,12.663,12.66661243,1982/08/24 00:00:00+00,2005/08/30 00:00:00+00,VIC,VIC_DEECA,VIC_DEECA,G,,T,1,N,2330,,State,143.77242012,-36.8957973,NRS,1.28054559251875e-05,0.0240140582260946
15932,TAS_50251,TAS_50251_bx,South Bruny,National Park,NP,II,Y,,0,0.21964796,1919/01/14 00:00:00+00,2000/12/13 00:00:00+00,TAS,NRE_TAS,NRE_TAS,G,,B,1,M,TAS50251,,State,147.13685573,-43.49742625,NRS,2.444342823135e-07,0.00234165580276363
15933,TAS_14173,TAS_14173_e,Forest Vale #3,Conservation Covenant,ACCP,IV,Y,,0,32.70817521,2010/08/31 00:00:00+00,2010/08/31 00:00:00+00,TAS,TAS_PRIV,NRE_TAS,P,FCF,T,1,M,TAS14173,,Private,147.28046906,-43.32657012,NRS,3.6297931620661e-05,0.0447300539654464
15934,TAS_14005,TAS_14005_a,Brashton Dairies #2,Conservation Covenant,ACCP,IV,Y,,0,1.5703619,2012/10/05 00:00:00+00,2012/10/05 00:00:00+00,TAS,TAS_PRIV,NRE_TAS,P,Offset,T,1,M,TAS14005,,Private,145.35289655,-40.86220135,NRS,1.677246977903e-06,0.00617292322151501
15935,VIC_1438,VIC_1438,Everton I74 B.R,Natural Features Reserve,NFR,IV,Y,,1.211,1.21121579,1987/02/11 00:00:00+00,1987/02/11 00:00:00+00,VIC,VIC_DEECA,VIC_DEECA,G,,T,1,N,1438,,State,146.54184547,-36.40409118,NRS,1.2168325462305e-06,0.00700458429119
15936,TAS_50252,TAS_50252_a,Southwest,National Park,NP,II,Y,,0,10199.05585667,1951/10/24 00:00:00+00,2013/12/18 00:00:00+00,TAS,NRE_TAS,NRE_TAS,G,,B,1,M,TAS50252,,State,146.10771692,-42.77029674,NRS,0.0112185185358782,1.28085481640313
15937,VIC_4604,VIC_4604,Castlemaine H80 B.R.,Natural Features Reserve,NFR,IV,Y,,5.023,5.0240558,2002/02/26 00:00:00+00,2005/06/21 00:00:00+00,VIC,VIC_DEECA,VIC_DEECA,G,,T,1,N,4604,,State,144.19183222,-37.07235475,NRS,5.0907054872e-06,0.0111184475123269
