IBRA Region Code,IBRA Subregion Name,IBRA Subregion Code,Jurisdictions,Jurisdiction(s) with Protected Area(s),Subregion Area (ha),Area Protected (ha),% IBRA Subregion Protected,Contribution to NRS (%)
MUL,Warrego Plains,MUL05,"NSW,QLD","NSW, QLD",2492085.00,89573.00,3.59,0.05
MUL,Warrego Sands,MUL12,NSW,NSW,479471.00,30708.00,6.4,0.02
WAR,Warren,WAR01,WA,WA,844771.00,396540.00,46.94,0.23
SSD,Warriner,SSD04,SA,SA,1032165.00,4289.00,0.42,0
SCP,Warrnambool Plain,SCP03,VIC,VIC,264443.00,16633.00,6.29,0.01
NNC,Washpool,NNC01,NSW,NSW,59377.00,46897.00,78.98,0.03
MAC,Watarrka,MAC02,NT,NT,1092782.00,162427.00,14.86,0.09
CER,Watarru,CER02,SA,SA,423360.00,312508.00,73.82,0.18
CYP,Weipa Plateau,CYP07,QLD,QLD,2848753.00,843092.00,29.6,0.49
GUP,Wellesley Islands,GUP10,QLD,QLD,124893.00,124893.00,100,0.07
BBS,Weribone High,BBS15,QLD,-,966510.00, -   ,0,0
ARC,Wessels,ARC05,NT,NT,52720.00,52720.00,100,0.03
TWE,West,TWE01,TAS,TAS,1565077.00,1350554.00,86.29,0.78
MUL,West Balonne Plains,MUL01,QLD,QLD,1991194.00,26910.00,1.35,0.02
MUL,West Bulloo,MUL10,QLD,-,2852104.00, -   ,0,0
MUL,West Warrego,MUL08,"NSW,QLD","NSW, QLD",4790087.00,235768.00,4.92,0.14
MAL,Western Mallee,MAL02,WA,WA,3981720.00,608505.00,15.28,0.35
MUR,Western Murchison,MUR02,WA,WA,6985514.00,449825.00,6.44,0.26
MUL,White Cliffs Plateau,MUL14,NSW,NSW,1074309.00,64746.00,6.03,0.04
CMC,Whitsunday,CMC01,QLD,QLD,89179.00,66672.00,74.76,0.04
DRP,Wilcannia Plains,DRP06,NSW,NSW,504562.00,63307.00,12.55,0.04
FUR,Wilsons Promontory,FUR01,"TAS,VIC","TAS, VIC",41144.00,40727.00,98.99,0.02
CEA,Wilton,CEA01,NT,NT,3137973.00,1076679.00,34.31,0.62
MDD,Wimmera,MDD05,"SA,VIC","SA, VIC",2145380.00,56999.00,2.66,0.03
