"Supplied Name","verbatimScientificName","vernacularName","rawFamily","sourceStatus","status","IUCN_equivalent_status","taxonRank","guid","scientificName","genus","family","order","class","phylum","kingdom","vernacularName","matchType","nameType"
"Tyto novaehollandiae melvillensis","Tyto novaehollandiae melvillensis","Tiwi Masked Owl, Tiwi Islands Masked Owl","Tytonidae","Endangered","Endangered","Endangered","","https://biodiversity.org.au/afd/taxa/b656fdb9-e0bc-4acb-ad99-5c6a57ae76a9","Tyto novaehollandiae melvillensis","Tyto","Tytonidae","Strigiformes","Aves","Chordata","Animalia","Tiwi Masked Owl","exactMatch",
"Lampropholis elongata","Lampropholis elongata","Long Sunskink","Scincidae","Critically Endangered","Critically Endangered","Critically Endangered","","https://biodiversity.org.au/afd/taxa/d4125414-0a5c-4e7c-9eea-d8582d85c83d","Lampropholis elongata","Lampropholis","Scincidae","Squamata","Reptilia","Chordata","Animalia","Long Sunskink","exactMatch",
"Dichanthium queenslandicum","Dichanthium queenslandicum","King Blue-grass","Poaceae","Endangered","Endangered","Endangered","","https://id.biodiversity.org.au/node/apni/2901362","Dichanthium queenslandicum","Dichanthium","Poaceae","Poales","Equisetopsida","Charophyta","Plantae","King Bluegrass","exactMatch",
"Macrozamia parcifolia","Macrozamia parcifolia","-","Zamiaceae","Vulnerable","Vulnerable","Vulnerable","","https://id.biodiversity.org.au/node/apni/2895445","Macrozamia parcifolia","Macrozamia","Zamiaceae","Cycadales","Equisetopsida","Charophyta","Plantae",,"exactMatch",
"Acacia ruppii","Acacia ruppii","Rupp's Wattle","Fabaceae","Endangered","Endangered","Endangered","","https://id.biodiversity.org.au/node/apni/2901189","Acacia ruppii","Acacia","Fabaceae","Fabales","Equisetopsida","Charophyta","Plantae","Rupp's Wattle","exactMatch",
"Budawangia gnidioides","Budawangia gnidioides","Budawangs Cliff-heath","Epacridaceae","Vulnerable","Vulnerable","Vulnerable","","https://id.biodiversity.org.au/taxon/apni/51283918","Epacris gnidioides","Epacris","Ericaceae","Ericales","Equisetopsida","Charophyta","Plantae","Budawangs Cliff-heath","exactMatch",
"Psophodes nigrogularis lashmari","Psophodes nigrogularis lashmari","Western Whipbird (Kangaroo Island)","Psophodidae","Endangered","Endangered","Endangered","","https://biodiversity.org.au/afd/taxa/55e18d27-0d27-4dde-91e2-95c4f5ff4e28","Psophodes (Phodopses) leucogaster lashmari","Psophodes","Psophodidae","Passeriformes","Aves","Chordata","Animalia",,"exactMatch",
"Eucalyptus stenostoma","Eucalyptus stenostoma","Jillaga Ash","Myrtaceae","Endangered","Endangered","Endangered","","https://id.biodiversity.org.au/node/apni/2903346","Eucalyptus stenostoma","Eucalyptus","Myrtaceae","Myrtales","Equisetopsida","Charophyta","Plantae","Jillaga Ash","exactMatch",
"Coeranoscincus reticulatus","Coeranoscincus reticulatus","Three-toed Snake-tooth Skink","Scincidae","Vulnerable","Vulnerable","Vulnerable","","https://biodiversity.org.au/afd/taxa/8eaed094-2c20-4a5b-815f-ffdd0dcb9647","Coeranoscincus reticulatus","Coeranoscincus","Scincidae","Squamata","Reptilia","Chordata","Animalia","Three-toed Snake-tooth Skink","exactMatch",
"Xenus cinereus","Xenus cinereus","Terek Sandpiper","Scolopacidae","Vulnerable","Vulnerable","Vulnerable","","https://biodiversity.org.au/afd/taxa/4090ad27-9c69-454d-aa47-23860b9ee50b","Xenus cinereus","Xenus","Scolopacidae","Charadriiformes","Aves","Chordata","Animalia","Terek Sandpiper","exactMatch",
"Tmesipteris lanceolata","Tmesipteris lanceolata","-","Psilotaceae","Extinct","Extinct","Extinct","","https://id.biodiversity.org.au/node/apni/2907902","Tmesipteris lanceolata","Tmesipteris","Psilotaceae","Psilotales","Equisetopsida","Charophyta","Plantae",,"exactMatch",
"Uvidicolus sphyrurus","Uvidicolus sphyrurus","Border Thick-tailed Gecko, Granite Belt Thick-tailed Gecko","Carphodactylidae","Vulnerable","Vulnerable","Vulnerable","","https://biodiversity.org.au/afd/taxa/8d138008-fe4e-45a0-934d-1858edcefb85","Uvidicolus sphyrurus","Uvidicolus","Carphodactylidae","Squamata","Reptilia","Chordata","Animalia","Granite Belt Thick-tailed Gecko","exactMatch",
"Melaleuca deanei","Melaleuca deanei","Deane's Melaleuca","Myrtaceae","Vulnerable","Vulnerable","Vulnerable","","https://id.biodiversity.org.au/node/apni/2916517","Melaleuca deanei","Melaleuca","Myrtaceae","Myrtales","Equisetopsida","Charophyta","Plantae","Deane's Paperbark","exactMatch",
"Acacia undoolyana","Acacia undoolyana","Undoolya Wattle, Sickle-leaf Wattle","Fabaceae","Vulnerable","Vulnerable","Vulnerable","","https://id.biodiversity.org.au/node/apni/2891259","Acacia undoolyana","Acacia","Fabaceae","Fabales","Equisetopsida","Charophyta","Plantae","Sickle-leaf Wattle","exactMatch",
"Lycopodium volubile","Lycopodium volubile","-","Lycopodiaceae","Extinct","Extinct","Extinct","","https://id.biodiversity.org.au/taxon/apni/51776347","Pseudodiphasium volubile","Pseudodiphasium","Lycopodiaceae","Lycopodiales","Equisetopsida","Charophyta","Plantae",,"exactMatch",
"Caladenia ovata","Caladenia ovata","Kangaroo Island Spider-orchid","Orchidaceae","Endangered","Endangered","Endangered","","https://id.biodiversity.org.au/taxon/apni/51399237","Caladenia ovata","Caladenia","Orchidaceae","Asparagales","Equisetopsida","Charophyta","Plantae","Kangaroo Island Spiderorchid","exactMatch",
"Leiocarpa gatesii","Leiocarpa gatesii","Wrinkled Buttons","Asteraceae","Vulnerable","Vulnerable","Vulnerable","","https://id.biodiversity.org.au/node/apni/2906350","Leiocarpa gatesii","Leiocarpa","Asteraceae","Asterales","Equisetopsida","Charophyta","Plantae","Wrinkled Buttons","exactMatch",
"Banksia nivea subsp. uliginosa","Banksia nivea subsp. uliginosa","Swamp Honeypot","Proteaceae","Endangered","Endangered","Endangered","","https://id.biodiversity.org.au/node/apni/2898488","Banksia nivea subsp. uliginosa","Banksia","Proteaceae","Proteales","Equisetopsida","Charophyta","Plantae","Swamp Honeypot","exactMatch",
"Boronia capitata subsp. capitata","Boronia capitata subsp. capitata","a shrub","Rutaceae","Endangered","Endangered","Endangered","","https://id.biodiversity.org.au/node/apni/2905903","Boronia capitata subsp. capitata","Boronia","Rutaceae","Sapindales","Equisetopsida","Charophyta","Plantae","Boronia","exactMatch",
"Euastacus gamilaroi","Euastacus gamilaroi","Gamilaroi Crayfish, Gamilaroi Spiny Crayfish, Hanging Rock Crayfish","Parastacidae","Endangered","Endangered","Endangered","","https://biodiversity.org.au/afd/taxa/2b4f99a2-acd3-49ac-ba13-eb45ef63cce9","Euastacus gamilaroi","Euastacus","Parastacidae","Decapoda","Malacostraca","Arthropoda","Animalia",,"exactMatch",
"Prasophyllum laxum","Prasophyllum laxum","Lax Leek Orchid","Orchidaceae","Critically Endangered","Critically Endangered","Critically Endangered","","https://id.biodiversity.org.au/taxon/apni/51795150","Prasophyllum laxum","Prasophyllum","Orchidaceae","Asparagales","Equisetopsida","Charophyta","Plantae","Lax Leek-orchid","exactMatch",
"Pherosphaera fitzgeraldii","Pherosphaera fitzgeraldii","Dwarf Mountain Pine","Podocarpaceae","Critically Endangered","Critically Endangered","Critically Endangered","","https://id.biodiversity.org.au/node/apni/2904619","Pherosphaera fitzgeraldii","Pherosphaera","Podocarpaceae","Pinales","Equisetopsida","Charophyta","Plantae","Dwarf Mountain Pine","exactMatch",
"Baloghia marmorata","Baloghia marmorata","Marbled Balogia, Jointed Baloghia","Euphorbiaceae","Vulnerable","Vulnerable","Vulnerable","","https://id.biodiversity.org.au/node/apni/2897440","Baloghia marmorata","Baloghia","Euphorbiaceae","Malpighiales","Equisetopsida","Charophyta","Plantae","Jointed Marbled Balogia","exactMatch",
"Eucalyptus hallii","Eucalyptus hallii","Goodwood Gum","Myrtaceae","Vulnerable","Vulnerable","Vulnerable","","https://id.biodiversity.org.au/taxon/apni/51782058","Eucalyptus hallii","Eucalyptus","Myrtaceae","Myrtales","Equisetopsida","Charophyta","Plantae","Goodwood Gum","exactMatch",
"Mitrella tiwiensis","Mitrella tiwiensis","a vine","Annonaceae","Vulnerable","Vulnerable","Vulnerable","","https://id.biodiversity.org.au/node/apni/2898128","Mitrella tiwiensis","Mitrella","Annonaceae","Magnoliales","Equisetopsida","Charophyta","Plantae","Mitrella","exactMatch",
"Galaxias gunaikurnai","Galaxias gunaikurnai","Shaw Galaxias","Galaxiidae","Critically Endangered","Critically Endangered","Critically Endangered","","https://biodiversity.org.au/afd/taxa/dd9ccbd9-2b23-4e64-8a68-ec70e2146770","Galaxias gunaikurnai","Galaxias","Galaxiidae","Salmoniformes","Actinopterygii","Chordata","Animalia","Shaw Galaxias","exactMatch",
"Hibiscus insularis","Hibiscus insularis","Phillip Island Hibiscus","Malvaceae","Critically Endangered","Critically Endangered","Critically Endangered","","https://id.biodiversity.org.au/node/apni/2902765","Hibiscus insularis","Hibiscus","Malvaceae","Malvales","Equisetopsida","Charophyta","Plantae","Phillip Island Hibiscus","exactMatch",
"Pterodroma leucoptera leucoptera","Pterodroma leucoptera leucoptera","Gould's Petrel, Australian Gould's Petrel","Procellariidae","Endangered","Endangered","Endangered","","https://biodiversity.org.au/afd/taxa/4bb0e17e-6745-4e74-b5e3-3204dce18a02","Pterodroma (Cookilaria) leucoptera","Pterodroma","Procellariidae","Procellariiformes","Aves","Chordata","Animalia","Gould's Petrel","exactMatch",
"Euastacus armatus","Euastacus armatus","Murray Crayfish","Parastacidae","Vulnerable","Vulnerable","Vulnerable","","https://biodiversity.org.au/afd/taxa/1d139479-3450-4c0d-9d69-652e86dd8706","Euastacus armatus","Euastacus","Parastacidae","Decapoda","Malacostraca","Arthropoda","Animalia","Murray Cray","exactMatch",
"Eucalyptus crucis subsp. crucis","Eucalyptus crucis subsp. crucis","Silver Mallee","Myrtaceae","Vulnerable","Vulnerable","Vulnerable","","https://id.biodiversity.org.au/node/apni/2899782","Eucalyptus crucis subsp. crucis","Eucalyptus","Myrtaceae","Myrtales","Equisetopsida","Charophyta","Plantae","Silver Mallee","exactMatch",
"Gallinago hardwickii","Gallinago hardwickii","Latham's Snipe, Japanese Snipe","Scolopacidae","Vulnerable","Vulnerable","Vulnerable","","https://biodiversity.org.au/afd/taxa/5c1957dc-0780-47cb-9c89-0498340c1e62","Gallinago (Gallinago) hardwickii","Gallinago","Scolopacidae","Charadriiformes","Aves","Chordata","Animalia","Latham's Snipe","exactMatch",
"Melaleuca sciotostyla","Melaleuca sciotostyla","Wongan Melaleuca","Myrtaceae","Endangered","Endangered","Endangered","","https://id.biodiversity.org.au/node/apni/2914957","Melaleuca sciotostyla","Melaleuca","Myrtaceae","Myrtales","Equisetopsida","Charophyta","Plantae","Wongan Melaleuca","exactMatch",
"Daviesia megacalyx","Daviesia megacalyx","Long-sepalled Daviesia","Fabaceae","Endangered","Endangered","Endangered","","https://id.biodiversity.org.au/node/apni/2905192","Daviesia megacalyx","Daviesia","Fabaceae","Fabales","Equisetopsida","Charophyta","Plantae","Longsepalled Daviesia","exactMatch",
"Gardenia psidioides","Gardenia psidioides","Hann Gardenia","Rubiaceae","Vulnerable","Vulnerable","Vulnerable","","https://id.biodiversity.org.au/taxon/apni/51293932","Gardenia psidioides","Gardenia","Rubiaceae","Gentianales","Equisetopsida","Charophyta","Plantae","Hann Gardenia","exactMatch",
"Lepidium monoplocoides","Lepidium monoplocoides","Winged Pepper-cress","Brassicaceae","Endangered","Endangered","Endangered","","https://id.biodiversity.org.au/node/apni/2898274","Lepidium monoplocoides","Lepidium","Brassicaceae","Brassicales","Equisetopsida","Charophyta","Plantae","Winged Peppercress","exactMatch",
"Pteropus conspicillatus","Pteropus conspicillatus","Spectacled Flying-fox","Pteropodidae","Endangered","Endangered","Endangered","","https://biodiversity.org.au/afd/taxa/836c6dcc-7c82-42d0-84c8-aa90c4438114","Pteropus conspicillatus","Pteropus","Pteropodidae","Chiroptera","Mammalia","Chordata","Animalia","Spectacled Flying-fox","exactMatch",
"Eucalyptus leprophloia","Eucalyptus leprophloia","Scaly Butt Mallee, Scaly-butt Mallee","Myrtaceae","Endangered","Endangered","Endangered","","https://id.biodiversity.org.au/node/apni/2896677","Eucalyptus leprophloia","Eucalyptus","Myrtaceae","Myrtales","Equisetopsida","Charophyta","Plantae","Scaly Butt Mallee","exactMatch",
"Solanum johnsonianum","Solanum johnsonianum","-","Solanaceae","Endangered","Endangered","Endangered","","https://id.biodiversity.org.au/node/apni/2905785","Solanum johnsonianum","Solanum","Solanaceae","Solanales","Equisetopsida","Charophyta","Plantae",,"exactMatch",
"Thersites mitchellae","Thersites mitchellae","Mitchell's Rainforest Snail","Camaenidae","Critically Endangered","Critically Endangered","Critically Endangered","","https://biodiversity.org.au/afd/taxa/9256a004-d30f-45e6-b71d-15ddd204df6a","Thersites mitchellae","Thersites","Camaenidae","Stylommatophora","Gastropoda","Mollusca","Animalia","Mitchell's Rainforest Snail","exactMatch",
"Pterostylis vernalis","Pterostylis vernalis","Halbury Rustyhood","Orchidaceae","Critically Endangered","Critically Endangered","Critically Endangered","","https://id.biodiversity.org.au/taxon/apni/51412434","Pterostylis vernalis","Pterostylis","Orchidaceae","Asparagales","Equisetopsida","Charophyta","Plantae","Halbury Rustyhood","exactMatch",
"Randia moorei","Randia moorei","Spiny Gardenia","Rubiaceae","Endangered","Endangered","Endangered","","https://id.biodiversity.org.au/node/apni/2921225","Randia moorei","Randia","Rubiaceae","Gentianales","Equisetopsida","Charophyta","Plantae","Spiny Gardenia","exactMatch",
"Thelymitra variegata","Thelymitra variegata","Queen of Sheba","Orchidaceae","Critically Endangered","Critically Endangered","Critically Endangered","","https://id.biodiversity.org.au/taxon/apni/51414432","Thelymitra variegata","Thelymitra","Orchidaceae","Asparagales","Equisetopsida","Charophyta","Plantae","Queen Of Sheba","exactMatch",
"Antechinus arktos","Antechinus arktos","Black-tailed Antechinus","Dasyuridae","Endangered","Endangered","Endangered","","https://biodiversity.org.au/afd/taxa/27d0a357-0b52-4304-8dad-f354a8bf3c72","Antechinus arktos","Antechinus","Dasyuridae","Dasyuromorphia","Mammalia","Chordata","Animalia","Black-tailed Antechinus","exactMatch",
"Epacris exserta","Epacris exserta","South Esk Heath","Epacridaceae","Endangered","Endangered","Endangered","","https://id.biodiversity.org.au/node/apni/2893201","Epacris exserta","Epacris","Ericaceae","Ericales","Equisetopsida","Charophyta","Plantae","South Esk Heath","exactMatch",
"Euastacus jagabar","Euastacus jagabar","Blue-black Crayfish","Parastacidae","Critically Endangered","Critically Endangered","Critically Endangered","","https://biodiversity.org.au/afd/taxa/773949e2-9a9c-4e6a-97d0-0d7f93082deb","Euastacus jagabar","Euastacus","Parastacidae","Decapoda","Malacostraca","Arthropoda","Animalia",,"exactMatch",
"Hibbertia marginata","Hibbertia marginata","-","Dilleniaceae","Vulnerable","Vulnerable","Vulnerable","","https://id.biodiversity.org.au/node/apni/2916141","Hibbertia marginata","Hibbertia","Dilleniaceae",,"Equisetopsida","Charophyta","Plantae","Bordered Guinea Flower","exactMatch",
"Saccolaimus saccolaimus nudicluniatus","Saccolaimus saccolaimus nudicluniatus","Bare-rumped Sheath-tailed Bat, Bare-rumped Sheathtail Bat","Emballonuridae","Vulnerable","Vulnerable","Vulnerable","","https://biodiversity.org.au/afd/taxa/1dd2fde9-3f0a-4f3e-a19c-1cd2b57e4f90","Saccolaimus saccolaimus nudicluniatus","Saccolaimus","Emballonuridae","Chiroptera","Mammalia","Chordata","Animalia","Bare-rumped Sheathtail Bat","exactMatch",
"Cyathea exilis","Cyathea exilis","a tree-fern","Cyatheaceae","Endangered","Endangered","Endangered","","https://id.biodiversity.org.au/taxon/apni/51434278","Cyathea exilis","Cyathea","Cyatheaceae","Cyatheales","Equisetopsida","Charophyta","Plantae",,"exactMatch",
"Prasophyllum pulchellum","Prasophyllum pulchellum","Pretty Leek-orchid","Orchidaceae","Critically Endangered","Critically Endangered","Critically Endangered","","https://id.biodiversity.org.au/taxon/apni/51795254","Prasophyllum pulchellum","Prasophyllum","Orchidaceae","Asparagales","Equisetopsida","Charophyta","Plantae","Pretty Leekorchid","exactMatch",
"Asplenium pellucidum","Asplenium pellucidum","-","Aspleniaceae","Vulnerable","Vulnerable","Vulnerable","","https://id.biodiversity.org.au/node/apni/2898113","Asplenium pellucidum","Asplenium","Aspleniaceae","Polypodiales","Equisetopsida","Charophyta","Plantae",,"exactMatch",
"Antechinus bellus","Antechinus bellus","Fawn Antechinus","Dasyuridae","Vulnerable","Vulnerable","Vulnerable","","https://biodiversity.org.au/afd/taxa/0f438409-f71b-40f5-954a-6c9e49629473","Antechinus bellus","Antechinus","Dasyuridae","Dasyuromorphia","Mammalia","Chordata","Animalia","Fawn Antechinus","exactMatch",
"Boronia exilis","Boronia exilis","Scott River Boronia","Rutaceae","Endangered","Endangered","Endangered","","https://id.biodiversity.org.au/node/apni/2912572","Boronia exilis","Boronia","Rutaceae","Sapindales","Equisetopsida","Charophyta","Plantae","Scott River Boronia","exactMatch",
"Elusor macrurus","Elusor macrurus","Mary River Turtle, Mary River Tortoise","Chelidae","Critically Endangered","Critically Endangered","Critically Endangered","","https://biodiversity.org.au/afd/taxa/d315deea-822c-4f2c-b439-da33d6af5fd6","Elusor macrurus","Elusor","Chelidae","Testudines","Reptilia","Chordata","Animalia","Mary River Turtle","exactMatch",
"Cophixalus neglectus","Cophixalus neglectus","Neglected Frog, Bellenden Ker Nursery-frog","Microhylidae","Critically Endangered","Critically Endangered","Critically Endangered","","https://biodiversity.org.au/afd/taxa/6eb0c964-bb32-4e1a-8e5b-036e686790b1","Cophixalus neglectus","Cophixalus","Microhylidae","Anura","Amphibia","Chordata","Animalia","Neglected Frog","exactMatch",
"Pterostylis pulchella","Pterostylis pulchella","Pretty Greenhood","Orchidaceae","Vulnerable","Vulnerable","Vulnerable","","https://id.biodiversity.org.au/taxon/apni/51412286","Pterostylis pulchella","Pterostylis","Orchidaceae","Asparagales","Equisetopsida","Charophyta","Plantae","Waterfall Greenhood","exactMatch",
"Sousa sahulensis","Sousa sahulensis","Australian Humpback Dolphin","Delphinidae","Vulnerable","Vulnerable","Vulnerable","","https://biodiversity.org.au/afd/taxa/4deec9e6-772f-41c6-8910-1a17eef68598","Sousa sahulensis","Sousa","Delphinidae","Artiodactyla","Mammalia","Chordata","Animalia","Australian Hump-backed Dolphin","exactMatch",
"Habenaria maccraithii","Habenaria maccraithii","Whiskered Rein Orchid","Orchidaceae","Endangered","Endangered","Endangered","","https://id.biodiversity.org.au/taxon/apni/51406329","Habenaria maccraithii","Habenaria","Orchidaceae","Asparagales","Equisetopsida","Charophyta","Plantae","Whiskered Rein Orchid","exactMatch",
"Pittosporum kororoense","Pittosporum kororoense","Big Banana Pittosporum","Pittosporaceae","Critically Endangered","Critically Endangered","Critically Endangered","","https://id.biodiversity.org.au/name/apni/51734387","Pittosporum kororoense","Pittosporum","Pittosporaceae","Apiales","Equisetopsida","Charophyta","Plantae","Big Banana Pittosporum","exactMatch",
"Caladenia thysanochila","Caladenia thysanochila","Fringed Spider-orchid","Orchidaceae","Endangered","Endangered","Endangered","","https://id.biodiversity.org.au/taxon/apni/51399410","Caladenia thysanochila","Caladenia","Orchidaceae","Asparagales","Equisetopsida","Charophyta","Plantae","Fringed Spiderorchid","exactMatch",
"Caladenia excelsa","Caladenia excelsa","Giant Spider-orchid","Orchidaceae","Endangered","Endangered","Endangered","","https://id.biodiversity.org.au/taxon/apni/51398986","Caladenia excelsa","Caladenia","Orchidaceae","Asparagales","Equisetopsida","Charophyta","Plantae","Giant Spider Orchid","exactMatch",
"Litoria myola","Litoria myola","Kuranda Tree Frog","Pelodryadidae","Critically Endangered","Critically Endangered","Critically Endangered","","https://biodiversity.org.au/afd/taxa/751db3c4-976d-4979-89f7-175755c11bda","Litoria myola","Litoria","Pelodryadidae","Anura","Amphibia","Chordata","Animalia","Kuranda Tree Frog","exactMatch",
"Pterostylis X aenigma","Pterostylis X aenigma","Enigmatic Greenhood","Orchidaceae","Endangered","Endangered","Endangered","","https://id.biodiversity.org.au/taxon/apni/51411996","Pterostylis x aenigma","Pterostylis","Orchidaceae","Asparagales","Equisetopsida","Charophyta","Plantae","Enigmatic Greenhood","exactMatch",
"Geocrinia vitellina","Geocrinia vitellina","Orange-bellied Frog","Myobatrachidae","Vulnerable","Vulnerable","Vulnerable","","https://biodiversity.org.au/afd/taxa/c62c4ff4-b02a-42fc-9585-6dc19557fc3c","Anstisia vitellina","Anstisia","Myobatrachidae","Anura","Amphibia","Chordata","Animalia","Orange-bellied Froglet","exactMatch",
"Verticordia plumosa var. vassensis","Verticordia plumosa var. vassensis","Vasse Featherflower","Myrtaceae","Endangered","Endangered","Endangered","","https://id.biodiversity.org.au/node/apni/2887055","Verticordia plumosa var. vassensis","Verticordia","Myrtaceae","Myrtales","Equisetopsida","Charophyta","Plantae","Vasse Featherflower","exactMatch",
"Atrichornis rufescens","Atrichornis rufescens","Rufous Scrub-bird","Atrichornithidae","Endangered","Endangered","Endangered","","https://biodiversity.org.au/afd/taxa/a0a03328-a019-4b4d-93d5-b51933d26adc","Atrichornis (Atrichornis) rufescens","Atrichornis","Atrichornithidae","Passeriformes","Aves","Chordata","Animalia","Rufous Scrub-bird","exactMatch",
"Bulbophyllum gracillimum","Bulbophyllum gracillimum","Wispy Umbrella Orchid","Orchidaceae","Vulnerable","Vulnerable","Vulnerable","","https://id.biodiversity.org.au/taxon/apni/51396337","Bulbophyllum gracillimum","Bulbophyllum","Orchidaceae","Asparagales","Equisetopsida","Charophyta","Plantae","Wispy Umbrella Orchid","exactMatch",
"Androcalva beeronensis","Androcalva beeronensis","-","Malvaceae","Critically Endangered","Critically Endangered","Critically Endangered","","https://id.biodiversity.org.au/node/apni/2917452","Androcalva beeronensis","Androcalva","Malvaceae","Malvales","Equisetopsida","Charophyta","Plantae",,"exactMatch",
"Eucalyptus recta","Eucalyptus recta","Silver Mallet","Myrtaceae","Endangered","Endangered","Endangered","","https://id.biodiversity.org.au/node/apni/2897107","Eucalyptus recta","Eucalyptus","Myrtaceae","Myrtales","Equisetopsida","Charophyta","Plantae","Mt Yule Silver Mallet","exactMatch",
"Hensmania chapmanii","Hensmania chapmanii","Chapman's Hensmania","Liliaceae","Vulnerable","Vulnerable","Vulnerable","","https://id.biodiversity.org.au/node/apni/2887004","Hensmania chapmanii","Hensmania","Hemerocallidaceae","Asparagales","Equisetopsida","Charophyta","Plantae","Chapman's Hensmania","exactMatch",
"Asterolasia beckersii","Asterolasia beckersii","Dungowan Starbush","Rutaceae","Critically Endangered","Critically Endangered","Critically Endangered","","https://id.biodiversity.org.au/taxon/apni/51344514","Asterolasia beckersii","Asterolasia","Rutaceae","Sapindales","Equisetopsida","Charophyta","Plantae","Dungowan Starbush","exactMatch",
"Potorous longipes","Potorous longipes","Long-footed Potoroo","Potoroidae","Endangered","Endangered","Endangered","","https://biodiversity.org.au/afd/taxa/19ef682c-bb52-4f0f-962e-391fffc4f984","Potorous longipes","Potorous","Potoroidae","Diprotodontia","Mammalia","Chordata","Animalia","Long-footed Potoroo","exactMatch",
"Actephila foetida","Actephila foetida","-","Euphorbiaceae","Vulnerable","Vulnerable","Vulnerable","","https://id.biodiversity.org.au/node/apni/2896535","Actephila foetida","Actephila","Phyllanthaceae","Malpighiales","Equisetopsida","Charophyta","Plantae",,"exactMatch",
"Dipodium pictum","Dipodium pictum","-","Orchidaceae","Endangered","Endangered","Endangered","","https://id.biodiversity.org.au/taxon/apni/51403395","Dipodium pictum","Dipodium","Orchidaceae","Asparagales","Equisetopsida","Charophyta","Plantae",,"exactMatch",
"Euphrasia semipicta","Euphrasia semipicta","Peninsula Eyebright","Scrophulariaceae","Endangered","Endangered","Endangered","","https://id.biodiversity.org.au/node/apni/2905452","Euphrasia semipicta","Euphrasia","Scrophulariaceae","Lamiales","Equisetopsida","Charophyta","Plantae","Peninsula Eyebright","exactMatch",
"Sarcochilus weinthalii","Sarcochilus weinthalii","Blotched Sarcochilus, Weinthals Sarcanth","Orchidaceae","Vulnerable","Vulnerable","Vulnerable","","https://id.biodiversity.org.au/taxon/apni/51413251","Sarcochilus weinthalii","Sarcochilus","Orchidaceae","Asparagales","Equisetopsida","Charophyta","Plantae","Blotched Sarcochilus","exactMatch",
"Epacris hamiltonii","Epacris hamiltonii","-","Epacridaceae","Endangered","Endangered","Endangered","","https://id.biodiversity.org.au/node/apni/2912978","Epacris hamiltonii","Epacris","Ericaceae","Ericales","Equisetopsida","Charophyta","Plantae",,"exactMatch",
"Ctenophorus yinnietharra","Ctenophorus yinnietharra","Yinnietharra Rock-Dragon","Agamidae","Vulnerable","Vulnerable","Vulnerable","","https://biodiversity.org.au/afd/taxa/a5d53376-7cf7-4893-8a5a-3ecc11eb846c","Ctenophorus yinnietharra","Ctenophorus","Agamidae","Squamata","Reptilia","Chordata","Animalia","Yinnietharra Rock Dragon","exactMatch",
"Euastacus maccai","Euastacus maccai","Terrestrial Crayfish","Parastacidae","Endangered","Endangered","Endangered","","https://biodiversity.org.au/afd/taxa/d33b3173-603b-4183-847e-c2ee1cc4df3e","Euastacus maccai","Euastacus","Parastacidae","Decapoda","Malacostraca","Arthropoda","Animalia",,"exactMatch",
"Lastreopsis calantha","Lastreopsis calantha","Shield-fern, Shieldfern","Dryopteridaceae","Endangered","Endangered","Endangered","","https://id.biodiversity.org.au/taxon/apni/51764776","Parapolystichum calanthum","Parapolystichum","Dryopteridaceae","Polypodiales","Equisetopsida","Charophyta","Plantae",,"exactMatch",
"Caladenia formosa","Caladenia formosa","Elegant Spider-orchid, Blood-red Spider-orchid","Orchidaceae","Vulnerable","Vulnerable","Vulnerable","","https://id.biodiversity.org.au/taxon/apni/51399030","Caladenia formosa","Caladenia","Orchidaceae","Asparagales","Equisetopsida","Charophyta","Plantae","Elegant Spider-orchid","exactMatch",
"Pseudophryne corroboree","Pseudophryne corroboree","Southern Corroboree Frog","Myobatrachidae","Critically Endangered","Critically Endangered","Critically Endangered","","https://biodiversity.org.au/afd/taxa/2c409774-c534-4a3a-b61a-d95964b98a37","Pseudophryne corroboree","Pseudophryne","Myobatrachidae","Anura","Amphibia","Chordata","Animalia","Southern Corroboree Frog","exactMatch",
"Homoranthus bebo","Homoranthus bebo","-","Myrtaceae","Critically Endangered","Critically Endangered","Critically Endangered","","https://id.biodiversity.org.au/node/apni/2910998","Homoranthus bebo","Homoranthus","Myrtaceae","Myrtales","Equisetopsida","Charophyta","Plantae",,"exactMatch",
"Caladenia lowanensis","Caladenia lowanensis","Wimmera Spider-orchid","Orchidaceae","Endangered","Endangered","Endangered","","https://id.biodiversity.org.au/taxon/apni/51399177","Caladenia lowanensis","Caladenia","Orchidaceae","Asparagales","Equisetopsida","Charophyta","Plantae","Wimmera Spider-orchid","exactMatch",
"Eremophila denticulata subsp. trisulcata","Eremophila denticulata subsp. trisulcata","Cumquat Eremophila","Myoporaceae","Endangered","Endangered","Endangered","","https://id.biodiversity.org.au/node/apni/2911733","Eremophila denticulata subsp. trisulcata","Eremophila","Scrophulariaceae","Lamiales","Equisetopsida","Charophyta","Plantae","Cumquat Eremophila","exactMatch",
"Notelaea lloydii","Notelaea lloydii","Lloyd's Olive","Oleaceae","Vulnerable","Vulnerable","Vulnerable","","https://id.biodiversity.org.au/taxon/apni/51290456","Notelaea lloydii","Notelaea","Oleaceae","Lamiales","Equisetopsida","Charophyta","Plantae","Lloyd's Native Olive","exactMatch",
"Prasophyllum limnetes","Prasophyllum limnetes","Marsh Leek-orchid","Orchidaceae","Critically Endangered","Critically Endangered","Critically Endangered","","https://id.biodiversity.org.au/taxon/apni/51795153","Prasophyllum limnetes","Prasophyllum","Orchidaceae","Asparagales","Equisetopsida","Charophyta","Plantae","Marsh Leekorchid","exactMatch",
