"Supplied Name","verbatimScientificName","vernacularName","rawFamily","sourceStatus","status","IUCN_equivalent_status","taxonRank","guid","scientificName","genus","family","order","class","phylum","kingdom","vernacularName","matchType","nameType"
"Hibiscus cravenii","Hibiscus cravenii","-","Malvaceae","Vulnerable","Vulnerable","Vulnerable","","https://id.biodiversity.org.au/node/apni/2920192","Hibiscus cravenii","Hibiscus","Malvaceae","Malvales","Equisetopsida","Charophyta","Plantae","Hibiscus","exactMatch",
"Viola improcera","Viola improcera","Dwarf Violet","Violaceae","Endangered","Endangered","Endangered","","https://id.biodiversity.org.au/node/apni/2894167","Viola improcera","Viola","Violaceae","Malpighiales","Equisetopsida","Charophyta","Plantae","Dwarf Violet","exactMatch",
"Aristida thompsonii","Aristida thompsonii","Thompson's wiregrass","Poaceae","Endangered","Endangered","Endangered","","https://id.biodiversity.org.au/node/apni/2905717","Aristida thompsonii","Aristida","Poaceae","Poales","Equisetopsida","Charophyta","Plantae","Thompson's Wiregrass","exactMatch",
"Hydriastele costata","Hydriastele costata","a palm","Arecaceae","Vulnerable","Vulnerable","Vulnerable","","https://id.biodiversity.org.au/node/apni/2887019","Hydriastele costata","Hydriastele","Arecaceae","Arecales","Equisetopsida","Charophyta","Plantae","A Palm","exactMatch",
"Polianthion minutiflorum","Polianthion minutiflorum","-","Rhamnaceae","Vulnerable","Vulnerable","Vulnerable","","https://id.biodiversity.org.au/node/apni/2890149","Polianthion minutiflorum","Polianthion","Rhamnaceae","Rosales","Equisetopsida","Charophyta","Plantae",,"exactMatch",
"Prasophyllum keltonii","Prasophyllum keltonii","Kelton's Leek-orchid","Orchidaceae","Critically Endangered","Critically Endangered","Critically Endangered","","https://id.biodiversity.org.au/taxon/apni/51795147","Prasophyllum keltonii","Prasophyllum","Orchidaceae","Asparagales","Equisetopsida","Charophyta","Plantae","Kelton's Leek Orchid","exactMatch",
"Grevillea elongata","Grevillea elongata","Ironstone Grevillea","Proteaceae","Vulnerable","Vulnerable","Vulnerable","","https://id.biodiversity.org.au/node/apni/2895952","Grevillea elongata","Grevillea","Proteaceae","Proteales","Equisetopsida","Charophyta","Plantae","Ironstone Grevillea","exactMatch",
"Rhaponticum australe","Rhaponticum australe","Austral Cornflower, Native Thistle","Asteraceae","Vulnerable","Vulnerable","Vulnerable","","https://id.biodiversity.org.au/taxon/apni/51744718","Leuzea australis","Leuzea","Asteraceae","Asterales","Equisetopsida","Charophyta","Plantae",,"exactMatch",
"Pterostylis basaltica","Pterostylis basaltica","Basalt Greenhood","Orchidaceae","Endangered","Endangered","Endangered","","https://id.biodiversity.org.au/taxon/apni/51412038","Pterostylis basaltica","Pterostylis","Orchidaceae","Asparagales","Equisetopsida","Charophyta","Plantae","Basalt Rustyhood","exactMatch",
"Pityrodia augustensis","Pityrodia augustensis","Mt Augustus Foxglove","Verbenaceae","Vulnerable","Vulnerable","Vulnerable","","https://id.biodiversity.org.au/node/apni/2920421","Pityrodia augustensis","Pityrodia","Lamiaceae","Lamiales","Equisetopsida","Charophyta","Plantae","Mt. Augustus Foxglove","exactMatch",
